DIA,MES,ANO,ESC,M3/SEG.
15.0,DIC,1968,1.28,55.8
18.0,ENE,1969,1.04,27.2
26.0,FEB,1969,0.97,20.37
27.0,MAR,1969,0.93,17.18
6.0,ABR,1969,0.92,15.82
1.0,MAY,1969,1.05,28.12
6.0,JUN,1969,1.25,52.28
21.0,JUL,1969,1.06,29.28
2.0,AGO,1969,1.13,36.3
12.0,SET,1969,1.37,70.0
29.0,OCT,1969,1.65,122.0
4.0,NOV,1969,1.62,116.67
31.0,DIC,1969,1.13,37.28
31.0,ENE,1970,1.08,31.14
28.0,FEB,1970,0.91,14.82
7.0,MAR,1970,0.88,12.48
4.0,ABR,1970,0.95,18.8
12.0,MAY,1970,1.12,35.7
10.0,JUN,1970,1.29,57.8
7.0,JUL,1970,1.32,62.0
23.0,AGO,1970,1.35,67.0
16.0,SET,1970,1.53,98.7
19.0,OCT,1970,1.69,130.0
30.0,NOV,1970,1.44,82.1
30.0,DIC,1970,1.26,53.1
30.0,ENE,1971,1.11,34.6
18.0,FEB,1971,1.05,28.2
12.0,MAR,1971,1.01,24.1
6.0,ABR,1971,1.05,28.2
6.0,MAY,1971,1.09,28.2
27.0,JUN,1971,1.35,60.9
9.0,JUL,1971,1.29,62.1
1.0,AGO,1971,1.36,62.3
1.0,SET,1971,1.7,125.0
9.0,OCT,1971,7.8,149.0
30.0,NOV,1971,1.41,70.2
30.0,DIC,1971,1.17,37.2
29.0,ENE,1972,1.07,26.0
29.0,FEB,1972,1.0,19.7
8.0,MAR,1972,0.98,17.4
3.0,ABR,1972,0.97,17.0
7.0,MAY,1972,1.16,35.7
28.0,JUN,1972,1.28,46.1
30.0,JUL,1972,1.12,27.7
5.0,AGO,1972,1.09,24.1
12.0,SET,1972,1.26,44.0
31.0,OCT,1972,1.45,71.6
30.0,NOV,1972,1.28,50.2
31.0,DIC,1972,1.08,27.1
29.0,ENE,1973,1.0,19.2
18.0,FEB,1973,0.96,15.4
29.0,MAR,1973,0.92,12.8
1.0,ABR,1973,0.92,12.8
3.0,MAY,1973,0.98,17.4
13.0,JUN,1973,1.35,60.9
16.0,JUL,1973,1.22,43.2
17.0,AGO,1973,1.36,62.3
11.0,SET,1973,1.57,99.5
4.0,OCT,1973,1.77,143.0
13.0,NOV,1973,1.4,68.8
28.0,DIC,1973,1.21,41.8
