Dia,Mes,Ano,Caudal_Diario
1,MAY,1955,3.92
2,MAY,1955,3.06
3,MAY,1955,2.2
4,MAY,1955,2.1
5,MAY,1955,2.1
6,MAY,1955,2.1
7,MAY,1955,2.1
8,MAY,1955,2.1
9,MAY,1955,2.2
10,MAY,1955,2.2
11,MAY,1955,2.2
12,MAY,1955,2.2
13,MAY,1955,2.2
14,MAY,1955,2.2
15,MAY,1955,2.1
16,MAY,1955,2.1
17,MAY,1955,7.92
18,MAY,1955,6.64
19,MAY,1955,6.11
20,MAY,1955,2.1
21,MAY,1955,2.1
22,MAY,1955,2.1
23,MAY,1955,2.1
24,MAY,1955,2.1
25,MAY,1955,2.1
26,MAY,1955,8.92
27,MAY,1955,3.73
28,MAY,1955,2.71
29,MAY,1955,6.38
30,MAY,1955,7.56
31,MAY,1955,16.14
1,JUN,1955,4.78
2,JUN,1955,5.97
3,JUN,1955,11.9
4,JUN,1955,7.75
5,JUN,1955,3.35
6,JUN,1955,3.33
7,JUN,1955,5.02
8,JUN,1955,7.94
9,JUN,1955,28.74
10,JUN,1955,9.16
11,JUN,1955,10.3
12,JUN,1955,21.3
13,JUN,1955,7.05
14,JUN,1955,5.14
15,JUN,1955,6.31
16,JUN,1955,9.34
17,JUN,1955,8.19
18,JUN,1955,6.03
19,JUN,1955,5.28
20,JUN,1955,4.7
21,JUN,1955,3.87
22,JUN,1955,4.24
23,JUN,1955,5.68
24,JUN,1955,4.37
25,JUN,1955,7.88
26,JUN,1955,4.22
27,JUN,1955,4.16
28,JUN,1955,3.5
29,JUN,1955,3.46
30,JUN,1955,3.78
31,JUN,1955,
1,JUL,1955,8.41
2,JUL,1955,19.96
3,JUL,1955,65.33
4,JUL,1955,14.6
5,JUL,1955,10.5
6,JUL,1955,11.2
7,JUL,1955,38.5
8,JUL,1955,12.6
9,JUL,1955,13.4
10,JUL,1955,18.0
11,JUL,1955,21.8
12,JUL,1955,20.6
13,JUL,1955,16.4
14,JUL,1955,14.7
15,JUL,1955,14.2
16,JUL,1955,11.6
17,JUL,1955,70.21
18,JUL,1955,148.81
19,JUL,1955,52.19
20,JUL,1955,44.31
21,JUL,1955,18.4
22,JUL,1955,17.1
23,JUL,1955,19.53
24,JUL,1955,18.2
25,JUL,1955,11.9
26,JUL,1955,10.7
27,JUL,1955,16.5
28,JUL,1955,12.9
29,JUL,1955,12.9
30,JUL,1955,12.3
31,JUL,1955,30.05
1,AGO,1955,40.87
2,AGO,1955,22.3
3,AGO,1955,12.2
4,AGO,1955,17.3
5,AGO,1955,10.7
6,AGO,1955,15.8
7,AGO,1955,15.6
8,AGO,1955,11.4
9,AGO,1955,12.2
10,AGO,1955,16.1
11,AGO,1955,15.6
12,AGO,1955,11.7
13,AGO,1955,26.11
14,AGO,1955,14.1
15,AGO,1955,13.5
16,AGO,1955,12.3
17,AGO,1955,14.5
18,AGO,1955,10.6
19,AGO,1955,12.8
20,AGO,1955,12.4
21,AGO,1955,24.08
22,AGO,1955,19.2
23,AGO,1955,33.93
24,AGO,1955,52.84
25,AGO,1955,35.29
26,AGO,1955,29.5
27,AGO,1955,17.4
28,AGO,1955,31.7
29,AGO,1955,20.3
30,AGO,1955,19.7
31,AGO,1955,22.37
1,SET,1955,27.6
2,SET,1955,49.39
3,SET,1955,49.93
4,SET,1955,29.2
5,SET,1955,26.7
6,SET,1955,30.2
7,SET,1955,27.4
8,SET,1955,24.5
9,SET,1955,22.5
10,SET,1955,64.54
11,SET,1955,62.34
12,SET,1955,111.13
13,SET,1955,125.83
14,SET,1955,65.4
15,SET,1955,58.87
16,SET,1955,64.15
17,SET,1955,85.75
18,SET,1955,51.04
19,SET,1955,67.68
20,SET,1955,93.37
21,SET,1955,51.1
22,SET,1955,51.49
23,SET,1955,127.82
24,SET,1955,69.25
25,SET,1955,144.1
26,SET,1955,53.17
27,SET,1955,70.38
28,SET,1955,35.5
29,SET,1955,29.8
30,SET,1955,25.9
31,SET,1955,
1,OCT,1955,41.7
2,OCT,1955,23.34
3,OCT,1955,19.0
4,OCT,1955,18.3
5,OCT,1955,26.4
6,OCT,1955,22.33
7,OCT,1955,45.66
8,OCT,1955,24.1
9,OCT,1955,33.62
10,OCT,1955,44.88
11,OCT,1955,30.3
12,OCT,1955,95.4
13,OCT,1955,376.43
14,OCT,1955,333.73
15,OCT,1955,277.85
16,OCT,1955,223.17
17,OCT,1955,183.53
18,OCT,1955,139.8
19,OCT,1955,102.2
20,OCT,1955,87.6
21,OCT,1955,69.15
22,OCT,1955,201.93
23,OCT,1955,186.07
24,OCT,1955,151.47
25,OCT,1955,64.55
26,OCT,1955,102.1
27,OCT,1955,67.7
28,OCT,1955,53.35
29,OCT,1955,50.2
30,OCT,1955,43.9
31,OCT,1955,41.92
1,NOV,1955,53.32
2,NOV,1955,56.65
3,NOV,1955,44.2
4,NOV,1955,40.4
5,NOV,1955,36.2
6,NOV,1955,32.0
7,NOV,1955,27.7
8,NOV,1955,21.5
9,NOV,1955,18.0
10,NOV,1955,16.2
11,NOV,1955,14.9
12,NOV,1955,14.04
13,NOV,1955,13.2
14,NOV,1955,12.4
15,NOV,1955,12.0
16,NOV,1955,11.13
17,NOV,1955,7.37
18,NOV,1955,6.65
19,NOV,1955,5.96
20,NOV,1955,7.67
21,NOV,1955,8.44
22,NOV,1955,8.44
23,NOV,1955,8.44
24,NOV,1955,8.22
25,NOV,1955,8.22
26,NOV,1955,7.91
27,NOV,1955,7.46
28,NOV,1955,7.1
29,NOV,1955,7.28
30,NOV,1955,7.1
31,NOV,1955,
1,DIC,1955,6.7
2,DIC,1955,6.5
3,DIC,1955,6.5
4,DIC,1955,6.3
5,DIC,1955,6.1
6,DIC,1955,5.94
7,DIC,1955,5.94
8,DIC,1955,4.7
9,DIC,1955,3.46
10,DIC,1955,3.46
11,DIC,1955,3.46
12,DIC,1955,3.46
13,DIC,1955,3.46
14,DIC,1955,3.46
15,DIC,1955,3.46
16,DIC,1955,3.46
17,DIC,1955,3.46
18,DIC,1955,3.46
19,DIC,1955,3.46
20,DIC,1955,3.46
21,DIC,1955,3.46
22,DIC,1955,3.32
23,DIC,1955,3.18
24,DIC,1955,3.04
25,DIC,1955,3.04
26,DIC,1955,3.04
27,DIC,1955,3.04
28,DIC,1955,3.04
29,DIC,1955,3.04
30,DIC,1955,3.04
31,DIC,1955,2.9
1,ENE,1956,2.9
2,ENE,1956,3.04
3,ENE,1956,3.04
4,ENE,1956,3.04
5,ENE,1956,3.18
6,ENE,1956,3.04
7,ENE,1956,3.04
8,ENE,1956,3.04
9,ENE,1956,2.9
10,ENE,1956,3.04
11,ENE,1956,3.04
12,ENE,1956,2.9
13,ENE,1956,2.9
14,ENE,1956,3.04
15,ENE,1956,3.6
16,ENE,1956,4.0
17,ENE,1956,4.24
18,ENE,1956,4.24
19,ENE,1956,4.24
20,ENE,1956,4.08
21,ENE,1956,3.92
22,ENE,1956,3.92
23,ENE,1956,3.76
24,ENE,1956,3.6
25,ENE,1956,3.6
26,ENE,1956,3.6
27,ENE,1956,3.6
28,ENE,1956,3.46
29,ENE,1956,3.46
30,ENE,1956,3.46
31,ENE,1956,3.46
1,FEB,1956,3.46
2,FEB,1956,3.46
3,FEB,1956,3.46
4,FEB,1956,3.32
5,FEB,1956,3.46
6,FEB,1956,3.6
7,FEB,1956,3.46
8,FEB,1956,3.46
9,FEB,1956,3.32
10,FEB,1956,3.46
11,FEB,1956,3.46
12,FEB,1956,3.46
13,FEB,1956,3.32
14,FEB,1956,3.32
15,FEB,1956,3.46
16,FEB,1956,3.6
17,FEB,1956,3.6
18,FEB,1956,3.6
19,FEB,1956,3.92
20,FEB,1956,3.92
21,FEB,1956,3.76
22,FEB,1956,3.76
23,FEB,1956,3.76
24,FEB,1956,3.6
25,FEB,1956,3.6
26,FEB,1956,3.76
27,FEB,1956,3.76
28,FEB,1956,3.6
29,FEB,1956,3.6
30,FEB,1956,
31,FEB,1956,
1,MAR,1956,3.6
2,MAR,1956,3.6
3,MAR,1956,3.6
4,MAR,1956,3.6
5,MAR,1956,3.6
6,MAR,1956,3.6
7,MAR,1956,3.6
8,MAR,1956,3.6
9,MAR,1956,3.6
10,MAR,1956,3.6
11,MAR,1956,3.6
12,MAR,1956,3.46
13,MAR,1956,3.46
14,MAR,1956,3.39
15,MAR,1956,3.32
16,MAR,1956,3.32
17,MAR,1956,3.32
18,MAR,1956,3.11
19,MAR,1956,3.04
20,MAR,1956,2.9
21,MAR,1956,2.76
22,MAR,1956,2.76
23,MAR,1956,2.76
24,MAR,1956,2.76
25,MAR,1956,2.76
26,MAR,1956,2.69
27,MAR,1956,2.48
28,MAR,1956,2.83
29,MAR,1956,2.66
30,MAR,1956,2.62
31,MAR,1956,2.62
1,ABR,1956,2.76
2,ABR,1956,2.62
3,ABR,1956,2.48
4,ABR,1956,2.48
5,ABR,1956,2.48
6,ABR,1956,2.48
7,ABR,1956,2.48
8,ABR,1956,2.48
9,ABR,1956,2.48
10,ABR,1956,2.48
11,ABR,1956,2.62
12,ABR,1956,2.48
13,ABR,1956,2.48
14,ABR,1956,2.48
15,ABR,1956,2.34
16,ABR,1956,2.48
17,ABR,1956,2.2
18,ABR,1956,2.2
19,ABR,1956,2.2
20,ABR,1956,2.2
21,ABR,1956,2.2
22,ABR,1956,2.2
23,ABR,1956,2.2
24,ABR,1956,2.2
25,ABR,1956,2.1
26,ABR,1956,2.1
27,ABR,1956,2.2
28,ABR,1956,2.2
29,ABR,1956,2.1
30,ABR,1956,2.1
31,ABR,1956,
1,MAY,1956,3.04
2,MAY,1956,3.04
3,MAY,1956,3.04
4,MAY,1956,3.04
5,MAY,1956,3.04
6,MAY,1956,3.04
7,MAY,1956,3.04
8,MAY,1956,3.04
9,MAY,1956,3.04
10,MAY,1956,3.04
11,MAY,1956,4.0
12,MAY,1956,11.86
13,MAY,1956,5.95
14,MAY,1956,15.1
15,MAY,1956,10.5
16,MAY,1956,10.8
17,MAY,1956,10.5
18,MAY,1956,8.06
19,MAY,1956,11.2
20,MAY,1956,8.55
21,MAY,1956,6.71
22,MAY,1956,8.28
23,MAY,1956,11.4
24,MAY,1956,11.4
25,MAY,1956,12.0
26,MAY,1956,7.95
27,MAY,1956,7.99
28,MAY,1956,27.53
29,MAY,1956,9.17
30,MAY,1956,12.8
31,MAY,1956,11.98
1,JUN,1956,10.96
2,JUN,1956,8.57
3,JUN,1956,9.9
4,JUN,1956,8.57
5,JUN,1956,10.11
6,JUN,1956,8.63
7,JUN,1956,9.34
8,JUN,1956,7.38
9,JUN,1956,8.83
10,JUN,1956,6.88
11,JUN,1956,6.34
12,JUN,1956,6.4
13,JUN,1956,5.98
14,JUN,1956,12.4
15,JUN,1956,31.22
16,JUN,1956,16.4
17,JUN,1956,14.1
18,JUN,1956,13.6
19,JUN,1956,13.76
20,JUN,1956,14.2
21,JUN,1956,13.8
22,JUN,1956,13.42
23,JUN,1956,13.22
24,JUN,1956,14.2
25,JUN,1956,13.4
26,JUN,1956,21.5
27,JUN,1956,21.55
28,JUN,1956,22.3
29,JUN,1956,17.6
30,JUN,1956,18.9
31,JUN,1956,
1,JUL,1956,16.2
2,JUL,1956,15.48
3,JUL,1956,15.14
4,JUL,1956,18.6
5,JUL,1956,16.74
6,JUL,1956,16.16
7,JUL,1956,16.86
8,JUL,1956,16.16
9,JUL,1956,16.2
10,JUL,1956,29.7
11,JUL,1956,31.95
12,JUL,1956,20.7
13,JUL,1956,46.94
14,JUL,1956,25.8
15,JUL,1956,13.33
16,JUL,1956,12.4
17,JUL,1956,11.9
18,JUL,1956,10.95
19,JUL,1956,10.3
20,JUL,1956,9.7
21,JUL,1956,11.7
22,JUL,1956,14.3
23,JUL,1956,14.7
24,JUL,1956,22.29
25,JUL,1956,37.68
26,JUL,1956,11.73
27,JUL,1956,10.4
28,JUL,1956,9.92
29,JUL,1956,9.7
30,JUL,1956,10.51
31,JUL,1956,11.97
1,AGO,1956,11.23
2,AGO,1956,10.03
3,AGO,1956,9.66
4,AGO,1956,9.15
5,AGO,1956,8.62
6,AGO,1956,8.24
7,AGO,1956,8.06
8,AGO,1956,7.78
9,AGO,1956,7.5
10,AGO,1956,7.6
11,AGO,1956,7.88
12,AGO,1956,12.1
13,AGO,1956,8.26
14,AGO,1956,10.95
15,AGO,1956,8.98
16,AGO,1956,11.25
17,AGO,1956,9.55
18,AGO,1956,10.7
19,AGO,1956,10.98
20,AGO,1956,10.57
21,AGO,1956,11.8
22,AGO,1956,12.6
23,AGO,1956,32.09
24,AGO,1956,20.5
25,AGO,1956,17.1
26,AGO,1956,13.5
27,AGO,1956,13.5
28,AGO,1956,20.3
29,AGO,1956,70.17
30,AGO,1956,30.6
31,AGO,1956,30.6
1,SET,1956,19.98
2,SET,1956,17.23
3,SET,1956,25.3
4,SET,1956,38.49
5,SET,1956,14.79
6,SET,1956,32.67
7,SET,1956,23.9
8,SET,1956,55.96
9,SET,1956,24.2
10,SET,1956,53.73
11,SET,1956,34.97
12,SET,1956,61.52
13,SET,1956,70.29
14,SET,1956,32.4
15,SET,1956,41.08
16,SET,1956,65.07
17,SET,1956,34.8
18,SET,1956,31.9
19,SET,1956,41.1
20,SET,1956,31.0
21,SET,1956,46.4
22,SET,1956,31.5
23,SET,1956,35.8
24,SET,1956,37.1
25,SET,1956,58.04
26,SET,1956,43.3
27,SET,1956,26.0
28,SET,1956,33.6
29,SET,1956,24.3
30,SET,1956,45.66
31,SET,1956,
1,OCT,1956,31.3
2,OCT,1956,39.3
3,OCT,1956,36.3
4,OCT,1956,36.13
5,OCT,1956,23.8
6,OCT,1956,35.02
7,OCT,1956,81.23
8,OCT,1956,67.93
9,OCT,1956,72.8
10,OCT,1956,67.1
11,OCT,1956,38.3
