"Dia","Mes","Ano","Caudal_Diario","lat","lon","chirps","chirts","datetime","caudal_lag_1m","caudal_lag_2m","caudal_lag_3m","caudal_lag_4m","caudal_lag_5m","caudal_lag_6m","temp_lag_2m","temp_lag_3m","temp_lag_4m","temp_lag_5m","temp_lag_6m","prep_lag_1m","prep_lag_2m","prep_lag_3m","prep_lag_4m","prep_lag_5m","prep_lag_6m","NINO3.4"
29,6,1983,34,8.76156005357074,-83.2033280149302,19.8235836029053,33.4413452148438,1983-06-29,53.3,12.7,24.5,17.3,18.5,23.6,31.2305955886841,31.2569465637207,32.6103916168213,32.522632598877,32.6014575958252,19.8235836029053,11.3277626037598,0,8.78760051727295,8.78760051727295,8.78760051727295,28.27
30,6,1983,33,8.76156005357074,-83.2033280149302,19.8235836029053,31.2856855392456,1983-06-30,50.4,12.7,37.1,16.1,17.5,21.9,32.7366027832031,31.2305955886841,31.2569465637207,32.6103916168213,32.522632598877,19.8235836029053,19.8235836029053,11.3277626037598,0,8.78760051727295,8.78760051727295,28.27
1,7,1983,55.4,8.76156005357074,-83.2033280149302,32.1947441101074,31.3957319259644,1983-07-01,50.4,12.7,30.1,12.9,17.4,21.9,33.4413452148438,32.7366027832031,31.2305955886841,31.2569465637207,32.6103916168213,19.8235836029053,19.8235836029053,19.8235836029053,11.3277626037598,0,8.78760051727295,27.18
2,7,1983,72.4,8.76156005357074,-83.2033280149302,21.127799987793,32.3898506164551,1983-07-02,43.8,13.4,25.8,12.8,17.2,21,31.2856855392456,33.4413452148438,32.7366027832031,31.2305955886841,31.2569465637207,32.1947441101074,19.8235836029053,19.8235836029053,19.8235836029053,11.3277626037598,0,27.18
3,7,1983,56.7,8.76156005357074,-83.2033280149302,7.04260015487671,31.6645412445068,1983-07-03,41,12.7,18.9,12.7,17.1,21,31.3957319259644,31.2856855392456,33.4413452148438,32.7366027832031,31.2305955886841,21.127799987793,32.1947441101074,19.8235836029053,19.8235836029053,19.8235836029053,11.3277626037598,27.18
4,7,1983,43.8,8.76156005357074,-83.2033280149302,0,30.8353414535522,1983-07-04,65,12.7,17.3,13.5,16.9,20,32.3898506164551,31.3957319259644,31.2856855392456,33.4413452148438,32.7366027832031,7.04260015487671,21.127799987793,32.1947441101074,19.8235836029053,19.8235836029053,19.8235836029053,27.18
5,7,1983,41.5,8.76156005357074,-83.2033280149302,42.2555999755859,31.7771968841553,1983-07-05,73.9,13.4,19.7,13.7,16.8,20,31.6645412445068,32.3898506164551,31.3957319259644,31.2856855392456,33.4413452148438,0,7.04260015487671,21.127799987793,32.1947441101074,19.8235836029053,19.8235836029053,27.18
6,7,1983,39.3,8.76156005357074,-83.2033280149302,11.6957931518555,31.6765766143799,1983-07-06,67.8,15.9,31.5,12.7,16.6,21.9,30.8353414535522,31.6645412445068,32.3898506164551,31.3957319259644,31.2856855392456,42.2555999755859,0,7.04260015487671,21.127799987793,32.1947441101074,19.8235836029053,27.18
7,7,1983,38.2,8.76156005357074,-83.2033280149302,0,31.9602031707764,1983-07-07,73.1,17,36.5,14.5,16.5,20.7,31.7771968841553,30.8353414535522,31.6645412445068,32.3898506164551,31.3957319259644,11.6957931518555,42.2555999755859,0,7.04260015487671,21.127799987793,32.1947441101074,27.18
8,7,1983,38.5,8.76156005357074,-83.2033280149302,23.3915863037109,32.6004991531372,1983-07-08,63.6,16.3,24.8,15.6,16.4,20.6,31.6765766143799,31.7771968841553,30.8353414535522,31.6645412445068,32.3898506164551,0,11.6957931518555,42.2555999755859,0,7.04260015487671,21.127799987793,27.18
9,7,1983,42,8.76156005357074,-83.2033280149302,0,32.3171005249023,1983-07-09,58.5,23,22.8,15.1,16.2,20.5,31.9602031707764,31.6765766143799,31.7771968841553,30.8353414535522,31.6645412445068,23.3915863037109,0,11.6957931518555,42.2555999755859,0,7.04260015487671,27.18
10,7,1983,42.6,8.76156005357074,-83.2033280149302,23.3915863037109,30.3090782165527,1983-07-10,83.5,21.9,31.6,14.9,16.1,20.3,32.6004991531372,31.9602031707764,31.6765766143799,31.7771968841553,30.8353414535522,0,23.3915863037109,0,11.6957931518555,42.2555999755859,0,27.18
11,7,1983,51.6,8.76156005357074,-83.2033280149302,18.0310859680176,31.2496585845947,1983-07-11,72.7,19.8,26.3,13.1,15.9,20.2,32.3171005249023,32.6004991531372,31.9602031707764,31.6765766143799,31.7771968841553,23.3915863037109,0,23.3915863037109,0,11.6957931518555,42.2555999755859,27.18
12,7,1983,41.5,8.76156005357074,-83.2033280149302,9.01554298400879,31.817645072937,1983-07-12,65.1,25.8,25.4,12.5,23.7,20,30.3090782165527,32.3171005249023,32.6004991531372,31.9602031707764,31.6765766143799,18.0310859680176,23.3915863037109,0,23.3915863037109,0,11.6957931518555,27.18
13,7,1983,37.2,8.76156005357074,-83.2033280149302,0,30.2142028808594,1983-07-13,71.5,40.8,24.4,13.8,20.8,19.9,31.2496585845947,30.3090782165527,32.3171005249023,32.6004991531372,31.9602031707764,9.01554298400879,18.0310859680176,23.3915863037109,0,23.3915863037109,0,27.18
14,7,1983,36.7,8.76156005357074,-83.2033280149302,20.6069564819336,30.5701932907104,1983-07-14,62.9,43,23.6,26.3,17.5,19.7,31.817645072937,31.2496585845947,30.3090782165527,32.3171005249023,32.6004991531372,0,9.01554298400879,18.0310859680176,23.3915863037109,0,23.3915863037109,27.18
16,7,1983,50.8,8.76156005357074,-83.2033280149302,35.5006446838379,31.170615196228,1983-07-16,60.6,34.8,22,17.8,15.2,19.4,30.5701932907104,30.2142028808594,31.817645072937,31.2496585845947,30.3090782165527,18.0310859680176,20.6069564819336,0,9.01554298400879,18.0310859680176,23.3915863037109,27.18
17,7,1983,51.2,8.76156005357074,-83.2033280149302,23.6670951843262,32.3958930969238,1983-07-17,63.7,31.7,21.7,11.2,15,19.3,30.9400644302368,30.5701932907104,30.2142028808594,31.817645072937,31.2496585845947,35.5006446838379,18.0310859680176,20.6069564819336,0,9.01554298400879,18.0310859680176,27.18
18,7,1983,41.5,8.76156005357074,-83.2033280149302,0,30.8723211288452,1983-07-18,67.4,35,20.4,11.3,14.9,19.1,31.170615196228,30.9400644302368,30.5701932907104,30.2142028808594,31.817645072937,23.6670951843262,35.5006446838379,18.0310859680176,20.6069564819336,0,9.01554298400879,27.18
19,7,1983,37.2,8.76156005357074,-83.2033280149302,0,31.6810750961304,1983-07-19,56.2,38.5,19.6,11.9,14.7,19,32.3958930969238,31.170615196228,30.9400644302368,30.5701932907104,30.2142028808594,0,23.6670951843262,35.5006446838379,18.0310859680176,20.6069564819336,0,27.18
20,7,1983,34.1,8.76156005357074,-83.2033280149302,11.8335475921631,30.7822751998901,1983-07-20,56,31.1,18.9,11.9,14.6,18.8,30.8723211288452,32.3958930969238,31.170615196228,30.9400644302368,30.5701932907104,0,0,23.6670951843262,35.5006446838379,18.0310859680176,20.6069564819336,27.18
21,7,1983,37.2,8.76156005357074,-83.2033280149302,23.4562072753906,31.6571607589722,1983-07-21,52.2,28.7,18.2,11.2,14.4,18.7,31.6810750961304,30.8723211288452,32.3958930969238,31.170615196228,30.9400644302368,11.8335475921631,0,0,23.6670951843262,35.5006446838379,18.0310859680176,27.18
22,7,1983,41.5,8.76156005357074,-83.2033280149302,31.9966716766357,30.2431230545044,1983-07-22,48.4,25.4,17.4,11.2,14.3,18.5,30.7822751998901,31.6810750961304,30.8723211288452,32.3958930969238,31.170615196228,23.4562072753906,11.8335475921631,0,0,23.6670951843262,35.5006446838379,27.18
24,7,1983,46.1,8.76156005357074,-83.2033280149302,9.47269916534424,30.4332237243652,1983-07-24,45.3,25.4,16,12.1,14,18.3,30.2431230545044,31.6571607589722,30.7822751998901,31.6810750961304,30.8723211288452,0,31.9966716766357,23.4562072753906,11.8335475921631,0,0,27.18
25,7,1983,41.5,8.76156005357074,-83.2033280149302,12.3896903991699,30.8693523406982,1983-07-25,43.2,26.5,15.3,14.4,13.9,18.1,32.7189750671387,30.2431230545044,31.6571607589722,30.7822751998901,31.6810750961304,9.47269916534424,0,31.9966716766357,23.4562072753906,11.8335475921631,0,27.18
26,7,1983,39.3,8.76156005357074,-83.2033280149302,19.5599975585938,31.991060256958,1983-07-26,43.9,37.9,14.6,34.7,13.7,24.7,30.4332237243652,32.7189750671387,30.2431230545044,31.6571607589722,30.7822751998901,12.3896903991699,9.47269916534424,0,31.9966716766357,23.4562072753906,11.8335475921631,27.18
27,7,1983,37.2,8.76156005357074,-83.2033280149302,0,31.6172647476196,1983-07-27,40.4,53.7,14,21.6,20.3,21.9,30.8693523406982,30.4332237243652,32.7189750671387,30.2431230545044,31.6571607589722,19.5599975585938,12.3896903991699,9.47269916534424,0,31.9966716766357,23.4562072753906,27.18
29,7,1983,41,8.76156005357074,-83.2033280149302,29.3399982452393,31.7176933288574,1983-07-29,34,53.3,12.7,24.5,17.3,18.5,31.6172647476196,31.991060256958,30.8693523406982,30.4332237243652,32.7189750671387,29.3399982452393,0,19.5599975585938,12.3896903991699,9.47269916534424,0,27.18
