"Dia","Mes","Ano","Caudal_Diario","date","chirps","chirts","viento","humedad","lon.x","lat.x","lon.y","lat.y","caudal_lag_1m","caudal_lag_2m","caudal_lag_3m","caudal_lag_4m","caudal_lag_5m","caudal_lag_6m","temp_lag_2m","temp_lag_3m","temp_lag_4m","temp_lag_5m","temp_lag_6m","prep_lag_1m","prep_lag_2m","prep_lag_3m","prep_lag_4m","prep_lag_5m","prep_lag_6m","NINO3.4"
30,6,1983,33,1983-06-30,13.0264885425568,31.2856855392456,1.199997,0.019300014,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,53.3,12.7,24.5,17.3,18.5,23.6,32.7366027832031,31.2305955886841,31.2569465637207,32.6103916168213,32.522632598877,9.91179180145264,16.1411852836609,12.7831878662109,0,4.39380025863647,4.39380025863647,28.27
1,7,1983,55.4,1983-07-01,28.323709487915,31.3957319259644,-0.30000305,0.01910001,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,50.4,12.7,37.1,16.1,17.5,21.9,33.4413452148438,32.7366027832031,31.2305955886841,31.2569465637207,32.6103916168213,13.0264885425568,9.91179180145264,16.1411852836609,12.7831878662109,0,4.39380025863647,27.18
2,7,1983,72.4,1983-07-02,19.7336530685425,32.3898506164551,-0.30000305,0.01880002,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,43.8,12.7,30.1,12.9,17.4,21.9,31.2856855392456,33.4413452148438,32.7366027832031,31.2305955886841,31.2569465637207,28.323709487915,13.0264885425568,9.91179180145264,16.1411852836609,12.7831878662109,0,27.18
3,7,1983,56.7,1983-07-03,15.7476375102997,31.6645412445068,-1,0.01910001,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,41,13.4,25.8,12.8,17.2,21,31.3957319259644,31.2856855392456,33.4413452148438,32.7366027832031,31.2305955886841,19.7336530685425,28.323709487915,13.0264885425568,9.91179180145264,16.1411852836609,12.7831878662109,27.18
4,7,1983,43.8,1983-07-04,3.05658435821533,30.8353414535522,-0.59999084,0.019200027,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,65,12.7,18.9,12.7,17.1,21,32.3898506164551,31.3957319259644,31.2856855392456,33.4413452148438,32.7366027832031,15.7476375102997,19.7336530685425,28.323709487915,13.0264885425568,9.91179180145264,16.1411852836609,27.18
5,7,1983,41.5,1983-07-05,21.127799987793,31.7771968841553,-0.8999939,0.018600017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,73.9,12.7,17.3,13.5,16.9,20,31.6645412445068,32.3898506164551,31.3957319259644,31.2856855392456,33.4413452148438,3.05658435821533,15.7476375102997,19.7336530685425,28.323709487915,13.0264885425568,9.91179180145264,27.18
6,7,1983,39.3,1983-07-06,8.25296568870544,31.6765766143799,-0.8999939,0.01850003,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,67.8,13.4,19.7,13.7,16.8,20,30.8353414535522,31.6645412445068,32.3898506164551,31.3957319259644,31.2856855392456,21.127799987793,3.05658435821533,15.7476375102997,19.7336530685425,28.323709487915,13.0264885425568,27.18
7,7,1983,38.2,1983-07-07,2.40506911277771,31.9602031707764,0.5,0.018600017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,73.1,15.9,31.5,12.7,16.6,21.9,31.7771968841553,30.8353414535522,31.6645412445068,32.3898506164551,31.3957319259644,8.25296568870544,21.127799987793,3.05658435821533,15.7476375102997,19.7336530685425,28.323709487915,27.18
8,7,1983,38.5,1983-07-08,21.3160696029663,32.6004991531372,0,0.01880002,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,63.6,17,36.5,14.5,16.5,20.7,31.6765766143799,31.7771968841553,30.8353414535522,31.6645412445068,32.3898506164551,2.40506911277771,8.25296568870544,21.127799987793,3.05658435821533,15.7476375102997,19.7336530685425,27.18
9,7,1983,42,1983-07-09,2.40506911277771,32.3171005249023,-0.5,0.018600017,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,58.5,16.3,24.8,15.6,16.4,20.6,31.9602031707764,31.6765766143799,31.7771968841553,30.8353414535522,31.6645412445068,21.3160696029663,2.40506911277771,8.25296568870544,21.127799987793,3.05658435821533,15.7476375102997,27.18
10,7,1983,42.6,1983-07-10,16.5059313774109,30.3090782165527,-0.80000305,0.019200027,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,83.5,23,22.8,15.1,16.2,20.5,32.6004991531372,31.9602031707764,31.6765766143799,31.7771968841553,30.8353414535522,2.40506911277771,21.3160696029663,2.40506911277771,8.25296568870544,21.127799987793,3.05658435821533,27.18
11,7,1983,51.6,1983-07-11,15.0113010406494,31.2496585845947,0.1000061,0.01820001,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,72.7,21.9,31.6,14.9,16.1,20.3,32.3171005249023,32.6004991531372,31.9602031707764,31.6765766143799,31.7771968841553,16.5059313774109,2.40506911277771,21.3160696029663,2.40506911277771,8.25296568870544,21.127799987793,27.18
12,7,1983,41.5,1983-07-12,7.50565052032471,31.817645072937,0.1000061,0.01820001,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,65.1,19.8,26.3,13.1,15.9,20.2,30.3090782165527,32.3171005249023,32.6004991531372,31.9602031707764,31.6765766143799,15.0113010406494,16.5059313774109,2.40506911277771,21.3160696029663,2.40506911277771,8.25296568870544,27.18
13,7,1983,37.2,1983-07-13,1.49893951416016,30.2142028808594,0.30000305,0.01880002,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,71.5,25.8,25.4,12.5,23.7,20,31.2496585845947,30.3090782165527,32.3171005249023,32.6004991531372,31.9602031707764,7.50565052032471,15.0113010406494,16.5059313774109,2.40506911277771,21.3160696029663,2.40506911277771,27.18
14,7,1983,36.7,1983-07-14,14.8002967834473,30.5701932907104,0.19999695,0.018600017,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,62.9,40.8,24.4,13.8,20.8,19.9,31.817645072937,31.2496585845947,30.3090782165527,32.3171005249023,32.6004991531372,1.49893951416016,7.50565052032471,15.0113010406494,16.5059313774109,2.40506911277771,21.3160696029663,27.18
15,7,1983,NA,1983-07-15,12.0134220123291,30.9400644302368,0.1000061,0.019000024,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,60.2,43,23.6,26.3,17.5,19.7,30.2142028808594,31.817645072937,31.2496585845947,30.3090782165527,32.3171005249023,14.8002967834473,1.49893951416016,7.50565052032471,15.0113010406494,16.5059313774109,2.40506911277771,27.18
16,7,1983,50.8,1983-07-16,27.417667388916,31.170615196228,0.1000061,0.019000024,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,60.6,36.6,22.7,14.4,15.3,19.6,30.5701932907104,30.2142028808594,31.817645072937,31.2496585845947,30.3090782165527,12.0134220123291,14.8002967834473,1.49893951416016,7.50565052032471,15.0113010406494,16.5059313774109,27.18
17,7,1983,51.2,1983-07-17,18.2784442901611,32.3958930969238,-0.30000305,0.01910001,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,63.7,34.8,22,17.8,15.2,19.4,30.9400644302368,30.5701932907104,30.2142028808594,31.817645072937,31.2496585845947,27.417667388916,12.0134220123291,14.8002967834473,1.49893951416016,7.50565052032471,15.0113010406494,27.18
18,7,1983,41.5,1983-07-18,0,30.8723211288452,-0.3999939,0.01910001,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,67.4,31.7,21.7,11.2,15,19.3,31.170615196228,30.9400644302368,30.5701932907104,30.2142028808594,31.817645072937,18.2784442901611,27.417667388916,12.0134220123291,14.8002967834473,1.49893951416016,7.50565052032471,27.18
19,7,1983,37.2,1983-07-19,6.44489669799805,31.6810750961304,-0.3999939,0.019000024,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,56.2,35,20.4,11.3,14.9,19.1,32.3958930969238,31.170615196228,30.9400644302368,30.5701932907104,30.2142028808594,0,18.2784442901611,27.417667388916,12.0134220123291,14.8002967834473,1.49893951416016,27.18
20,7,1983,34.1,1983-07-20,9.13922214508057,30.7822751998901,-1.5,0.019000024,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,56,38.5,19.6,11.9,14.7,19,30.8723211288452,32.3958930969238,31.170615196228,30.9400644302368,30.5701932907104,6.44489669799805,0,18.2784442901611,27.417667388916,12.0134220123291,14.8002967834473,27.18
21,7,1983,37.2,1983-07-21,24.4310750961304,31.6571607589722,-1.199997,0.018900007,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,52.2,31.1,18.9,11.9,14.6,18.8,31.6810750961304,30.8723211288452,32.3958930969238,31.170615196228,30.9400644302368,9.13922214508057,6.44489669799805,0,18.2784442901611,27.417667388916,12.0134220123291,27.18
22,7,1983,41.5,1983-07-22,28.7013072967529,30.2431230545044,-0.19999695,0.019300014,-83.2033280149302,8.76156005357074,-82.7118375207178,9.16966476531875,48.4,28.7,18.2,11.2,14.4,18.7,30.7822751998901,31.6810750961304,30.8723211288452,32.3958930969238,31.170615196228,24.4310750961304,9.13922214508057,6.44489669799805,0,18.2784442901611,27.417667388916,27.18
23,7,1983,45.4,1983-07-23,6.35148572921753,32.7189750671387,-0.80000305,0.018300027,-83.2033280149302,8.76156005357074,-83.2033280149302,8.76156005357074,NA,25.4,17.4,11.2,14.3,18.5,31.6571607589722,30.7822751998901,31.6810750961304,30.8723211288452,32.3958930969238,28.7013072967529,24.4310750961304,9.13922214508057,6.44489669799805,0,18.2784442901611,27.18
