"Dia","Mes","Ano","Caudal_Diario","date","chirps","chirts","viento","humedad","lon.x","lat.x","lon.y","lat.y","caudal_lag_1m","caudal_lag_2m","caudal_lag_3m","caudal_lag_4m","caudal_lag_5m","caudal_lag_6m","temp_lag_2m","temp_lag_3m","temp_lag_4m","temp_lag_5m","temp_lag_6m","prep_lag_1m","prep_lag_2m","prep_lag_3m","prep_lag_4m","prep_lag_5m","prep_lag_6m","NINO3.4"
1,1,1983,4.34,1983-01-01,0,30.3927841186523,-5.599991,0.01820001,-84.5999339167427,10.0110108890949,-84.5999339167427,10.0110108890949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.89
2,1,1983,4.14,1983-01-02,0,29.5864171981812,-5,0.018900007,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,28.89
3,1,1983,4.14,1983-01-03,0,30.1539192199707,-4.399994,0.018100023,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,30.3927841186523,NA,NA,NA,NA,0,0,NA,NA,NA,NA,28.89
4,1,1983,4.34,1983-01-04,0,30.5495357513428,-5.599991,0.017800033,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,29.5864171981812,30.3927841186523,NA,NA,NA,0,0,0,NA,NA,NA,28.89
5,1,1983,4.76,1983-01-05,3.13195371627808,30.9979257583618,-6,0.01730001,-84.5999339167427,10.0110108890949,-84.5999339167427,10.0110108890949,NA,NA,NA,NA,NA,NA,30.1539192199707,29.5864171981812,30.3927841186523,NA,NA,0,0,0,0,NA,NA,28.89
6,1,1983,4.97,1983-01-06,1.13655602931976,30.0423460006714,-6.199997,0.017100006,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,30.5495357513428,30.1539192199707,29.5864171981812,30.3927841186523,NA,3.13195371627808,0,0,0,0,NA,28.89
7,1,1983,4.97,1983-01-07,0,27.820652961731,-3.399994,0.018000007,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,30.9979257583618,30.5495357513428,30.1539192199707,29.5864171981812,30.3927841186523,1.13655602931976,3.13195371627808,0,0,0,0,28.89
8,1,1983,4.97,1983-01-08,0,27.9997835159302,-4.800003,0.01880002,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,30.0423460006714,30.9979257583618,30.5495357513428,30.1539192199707,29.5864171981812,0,1.13655602931976,3.13195371627808,0,0,0,28.89
9,1,1983,4.97,1983-01-09,0,29.6982641220093,-2.800003,0.019000024,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,27.820652961731,30.0423460006714,30.9979257583618,30.5495357513428,30.1539192199707,0,0,1.13655602931976,3.13195371627808,0,0,28.89
10,1,1983,5.08,1983-01-10,0,31.6352577209473,-2.5,0.018600017,-84.5999339167427,10.0110108890949,-84.3401607513215,10.1932754810708,NA,NA,NA,NA,NA,NA,27.9997835159302,27.820652961731,30.0423460006714,30.9979257583618,30.5495357513428,0,0,0,1.13655602931976,3.13195371627808,0,28.89
